City;Rank;State;Growth From 2000 to 2013;Population;Coordinates
Perris;466;California;98.7;72326;33.7825194,-117.2286478
Buena Park;386;California;6.1;82882;33.8675143,-117.9981181
Westminster;331;California;3.9;91739;33.7513419,-117.9939921
Chino;402;California;15.6;80988;34.0122346,-117.688944
Fountain Valley;640;California;3.0;56707;33.7091847,-117.9536697
Tulare;576;California;33.3;61170;36.2077288,-119.3473379
Chula Vista;75;California;46.2;256780;32.6400541,-117.0841955
Concord;211;California;2.9;125880;37.9779776,-122.0310733
Campbell;908;California;4.2;40584;37.2871651,-121.9499568
Moreno Valley;112;California;40.4;201175;33.9424658,-117.2296717
Dublin;706;California;70.0;52105;37.7021521,-121.9357918
El Centro;845;California;13.7;43363;32.792,-115.5630514
Pittsburg;516;California;16.6;66695;38.0279762,-121.8846806
Brea;893;California;15.2;40963;33.9166805,-117.9000604
Indio;382;California;66.0;83539;33.7205771,-116.2155619
Glendora;723;California;3.1;51074;34.1361187,-117.865339
Calexico;940;California;44.0;39389;32.6789476,-115.4988834
Clovis;296;California;42.6;99769;36.8252277,-119.7029194
Orange;182;California;7.7;139969;33.7877944,-117.8531119
Walnut Creek;513;California;3.5;66900;37.9100783,-122.0651819
Porterville;661;California;20.1;55174;36.06523,-119.0167679
Merced;400;California;25.4;81102;37.3021632,-120.4829677
Yorba Linda;511;California;13.4;67032;33.8886259,-117.8131125
San Buenaventura (Ventura);258;California;7.4;108817;34.274646,-119.2290316
Fremont;97;California;10.0;224922;37.5482697,-121.9885719
Pomona;162;California;2.1;151348;34.055103,-117.7499909
Eastvale;660;California;;55191;33.952463,-117.5848025
Tustin;420;California;15.6;78327;33.7458511,-117.826166
Escondido;166;California;10.7;148738;33.1192068,-117.086421
San Bruno;868;California;5.6;42443;37.6304904,-122.4110835
Berkeley;231;California;13.3;116768;37.8715926,-122.272747
San Clemente;537;California;28.6;65040;33.4269728,-117.6119925
La Habra;569;California;3.6;61653;33.9319578,-117.9461734
Daly City;273;California;1.0;104739;37.6879241,-122.4702079
San Mateo;286;California;9.0;101128;37.5629917,-122.3255254
Lompoc;844;California;5.5;43509;34.6391501,-120.4579409
Salinas;157;California;8.4;155662;36.6777372,-121.6555013
Ceres;797;California;34.0;46714;37.5949316,-120.9577098
Bell Gardens;862;California;-2.7;42889;33.9652918,-118.1514588
San Leandro;352;California;10.3;87965;37.7249296,-122.1560768
Vista;306;California;7.7;96929;33.2000368,-117.2425355
Lodi;550;California;10.1;63338;38.1341477,-121.2722194
National City;595;California;10.1;59834;32.6781085,-117.0991967
Hayward;161;California;7.5;151574;37.6688205,-122.0807964
Hanford;670;California;30.3;54686;36.3274502,-119.6456844
Cypress;762;California;5.3;49087;33.8169599,-118.0372852
Redlands;486;California;9.4;69999;34.0555693,-117.1825381
Rialto;284;California;9.8;101910;34.1064001,-117.3703235
Rancho Santa Margarita;758;California;4.6;49228;33.640855,-117.603104
Palm Springs;804;California;7.7;46281;33.8302961,-116.5452921
San Diego;8;California;10.5;1355896;32.715738,-117.1610838
Santa Rosa;140;California;15.2;171990;38.440429,-122.7140548
Cathedral City;693;California;23.2;52977;33.7805388,-116.4668036
Sunnyvale;170;California;11.9;147559;37.36883,-122.0363496
Santa Cruz;556;California;12.5;62864;36.9741171,-122.0307963
Rancho Palos Verdes;867;California;2.9;42448;33.7444613,-118.3870173
Sacramento;35;California;17.2;479686;38.5815719,-121.4943996
Covina;774;California;3.3;48508;34.0900091,-117.8903397
Visalia;201;California;33.6;127763;36.3302284,-119.2920585
Antioch;265;California;16.9;107100;38.0049214,-121.805789
Murrieta;263;California;107.4;107479;33.5539143,-117.2139232
Tracy;371;California;45.9;84691;37.7396513,-121.4252227
Palm Desert;732;California;13.2;50508;33.7222445,-116.3744556
Camarillo;523;California;14.9;66086;34.2163937,-119.0376023
Oakland;45;California;1.3;406253;37.8043637,-122.2711137
